Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
43.5,0.4979166666666667,1.0,76.0,49.0,18.1250145,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
44.0,3.997916666666667,1.0,52.0,49.0,18.333348,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
45.0,0.9979166666666667,1.0,79.0,49.0,18.750015,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
45.0,0.9979166666666667,1.0,64.0,49.0,18.750015,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
45.0,0.9979166666666667,1.0,67.0,49.0,18.750015,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
45.0,0.9979166666666667,1.0,72.0,49.0,18.750015,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
46.0,0.9979166666666667,1.0,76.0,49.0,19.166682,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
46.0,0.9979166666666667,1.0,64.0,49.0,19.166682,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
46.0,0.9979166666666667,1.0,67.0,49.0,19.166682,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
46.0,0.9979166666666667,1.0,72.0,49.0,19.166682,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
47.0,0.9979166666666667,1.0,79.0,49.0,19.583349,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
47.0,0.9979166666666667,1.0,64.0,49.0,19.583349,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
47.0,0.9979166666666667,1.0,67.0,49.0,19.583349,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
47.0,0.9979166666666667,1.0,72.0,49.0,19.583349,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
48.0,3.997916666666667,1.0,52.0,49.0,20.000016,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
49.0,0.9979166666666667,1.0,81.0,49.0,20.416683,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
49.0,0.9979166666666667,1.0,66.0,49.0,20.416683,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
49.0,0.9979166666666667,1.0,67.0,49.0,20.416683,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
49.0,0.9979166666666667,1.0,74.0,49.0,20.416683,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
50.0,0.9979166666666667,1.0,76.0,49.0,20.83335,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
50.0,0.9979166666666667,1.0,66.0,49.0,20.83335,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
50.0,0.9979166666666667,1.0,67.0,49.0,20.83335,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
50.0,0.9979166666666667,1.0,74.0,49.0,20.83335,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
